layerId,easting,northing,altitude,type,dipDir,dip,dipPolarity,layer
4,517421.4573351608,7458691.069069388,344.81644974664084,4,31.984336366518754,220.3203135908359,1.0,b's0'
8,516989.3028740905,7459019.717461513,334.81082128451413,4,108.81548493486261,241.96536657808656,1.0,b's0'
10,515485.81799380993,7463829.528370777,375.5533405585951,4,25.53653648031552,4.511344229163399,1.0,b's0'
7,508066.1612316177,7467617.309935324,373.82767473791023,4,31.266951411954444,183.92569708307337,1.0,b's0'
6,503576.67345300387,7466708.678836746,348.67631432065207,4,37.0853083362721,38.14542407811825,1.0,b's0'
7,503902.0649826468,7463540.236835283,313.2200430617892,4,34.31451648800574,311.78691698397137,1.0,b's0'
4,502580.7007473088,7468270.236598008,469.6136562508136,4,17.68273399202299,353.1383428934557,1.0,b's0'
5,502586.3946470065,7469722.816648788,365.8719248412969,4,0.9436487346025331,109.39686102113654,1.0,b's0'
7,503391.01698821795,7465504.443073631,305.4819085808683,4,96.9113511626515,337.516135950868,1.0,b's0'
7,507273.28223051253,7468635.336844123,431.5849160936797,4,2.4142049123731084,266.61475801221115,1.0,b's0'
16,517152.39169527247,7468855.772518301,415.0256586729963,4,77.41770658366633,214.7327366326124,1.0,b's0'
17,517892.9946723844,7470147.131069808,364.7420603654596,4,55.57876974602528,178.2753412630301,1.0,b's0'
20,522072.7837407844,7478143.418925878,393.4776545933398,4,31.662998373958487,208.01304068172647,1.0,b's0'
18,513118.51364722365,7483049.687529325,450.6282410788235,4,53.70169951496476,33.87555827314873,1.0,b's0'
16,507675.28102603764,7487744.466755651,523.678601728108,4,42.063421639649654,276.47987474661113,1.0,b's0'
13,522424.4152853011,7500464.3460379895,591.8003371555765,4,23.25177041857752,29.314269704909748,1.0,b's0'
8,506773.52539794083,7502536.6157152075,477.0127693390745,4,74.74056579928246,355.40949658741164,1.0,b's0'
12,521900.0091480512,7509395.172435668,558.9444460703946,4,53.33764102164554,160.82553275982661,1.0,b's0'
15,512557.9561174696,7509870.050146368,556.7765273701366,4,93.03927468343456,269.11891290935046,1.0,b's0'
17,515113.91516889125,7524906.545093354,542.4604567837379,4,40.733747451210085,136.65567791933438,1.0,b's0'
17,510295.12478424574,7523709.449671847,552.6216542439491,4,34.74552193998503,63.08839235119507,1.0,b's0'
16,518617.41146012186,7528586.784073275,508.82007891660606,4,46.18457871665,13.663539171919979,1.0,b's0'
16,519757.97173627635,7529733.740890519,530.3069063108811,4,13.64225536548716,76.59681623979185,1.0,b's0'
12,519128.85075005324,7542183.179281009,803.6428676663639,4,23.448153485742267,113.80786951875479,1.0,b's0'
16,540161.6731221604,7529821.050580256,609.8775633387978,4,23.691191098986366,301.8636771069466,1.0,b's0'
15,542089.6756343088,7531841.851442045,589.3019224029641,4,46.12276261447942,154.5852663308035,1.0,b's0'
15,538947.9592139259,7532321.505631169,592.7423198446039,4,34.2172946898879,187.7355020203389,1.0,b's0'
15,533619.1629145793,7532686.097118445,623.1991556888931,4,41.406222664243764,285.2975081301332,1.0,b's0'
16,531677.879508508,7530814.929674006,596.749935927404,4,56.107507407402,19.485128661760086,1.0,b's0'
15,531252.4561425076,7532106.62608406,581.6293320501246,4,23.554794622942694,312.1962953373785,1.0,b's0'
16,530471.9822297477,7530069.329044288,612.7539083158124,4,45.69763429017924,48.445542330295666,1.0,b's0'
15,526067.5368274084,7531083.571316481,566.1422462475603,4,8.210846278763853,276.9454553355925,1.0,b's0'
16,535107.6824460397,7527667.097343561,562.3140074640253,4,14.479911171481888,119.4950082823006,1.0,b's0'
16,538143.3838922633,7522214.667430217,597.5247927680732,4,22.68638807584368,191.27350394260202,1.0,b's0'
13,529985.2690075276,7517300.596621146,660.9880429557186,4,48.12673890569123,241.6015522631086,1.0,b's0'
12,536653.0798767355,7516696.463303801,814.2454243653052,4,44.11702776926122,247.49996024034112,1.0,b's0'
12,536817.6511426154,7516400.174950524,794.7362502037286,4,73.7308220358799,148.70805351350572,1.0,b's0'
12,537137.7242971064,7516756.072665326,761.0998368666758,4,84.75287777427374,40.85698017180931,1.0,b's0'
